frequency_thz,mode,cutoff_thz,beta_rad_m,coupling_fraction_full_beam,coupling_fraction_aperture,attenuation_np_m,copper_loss_db,output_power_fraction,relative_group_delay_ps,amplitude_real,amplitude_imag
0.1,TE11,0.08784923322365325,1001.3034701666403,0.05343111512480359,0.4044305749028702,0.5458846269840456,1.8965974500398877,0.034525064065723435,1458.4979409576897,0.0,0.005998604657183108
0.12000000000000001,TE11,0.08784923322365325,1713.2827659277968,0.10698587625352579,0.5796450081229942,0.3362879681399196,1.168384071148989,0.08175005263308295,624.36573294385,0.0,0.004936428076337408
0.14,TE11,0.08784923322365325,2284.616453842048,0.16160072015801083,0.6664129304187576,0.2704474939470462,0.939630834126122,0.1301607997617236,379.35835947779816,0.0,0.004169259472973649
0.16,TE11,0.08784923322365325,2802.6794598722136,0.2190382613056727,0.7199691185591541,0.2387408349837411,0.8294706179073086,0.1809559724832729,262.1557005626848,0.0,0.003586982718400129
0.18,TE11,0.08784923322365325,3292.712753474946,0.27871663166731925,0.7570867384307296,0.22116803994090428,0.7684164745575418,0.23351847046937635,194.42548291765107,0.0,0.0031284681923530967
0.2,TE11,0.08784923322365325,3765.6749338580316,0.33959158039867987,0.7849078009792839,0.21088920163551433,0.7327041325062887,0.2868709032550029,150.94594963078626,0.0,0.0027570715177069466
0.2,TM11,0.18282391732568906,1699.4983913009996,0.0033415657871177936,0.00772345725036837,0.7649818535501296,2.657819182023542,0.0018120413235194613,1956.5906220701106,0.0,0.3873377943284971
0.22,TE11,0.08784923322365325,4227.2997819601105,0.40050939874910235,0.8069648633426807,0.20486126044307282,0.7117609197293715,0.3399668882667242,121.06224420176522,0.0,0.0024494963302149515
0.22,TM11,0.18282391732568906,2564.771046527933,0.004068821738681516,0.00819805025444042,0.5848066688179139,2.0318264739827394,0.00254850808536815,1064.424824864943,0.0,0.30157563357417355
0.24000000000000002,TE11,0.08784923322365325,4680.942692889594,0.4603337081971909,0.8251537506594208,0.2015103867791221,0.7001187921949017,0.39179681238241054,99.50332642493771,0.0,0.002190225575670371
0.24000000000000002,TM11,0.18282391732568906,3258.713176802228,0.005535524988992726,0.009922495626976054,0.5244421913391077,1.8220987982065908,0.0036387224965159395,725.2519774868192,0.0,0.27387961998973637
0.26,TE11,0.08784923322365325,5128.722145930321,0.518010142647886,0.8405336614494051,0.19993823926223533,0.6946565922643271,0.44144093611439655,83.37275502772091,0.0,0.0019685230569357
0.26,TM11,0.18282391732568906,3874.5035713887405,0.007638586502648714,0.012394523876598328,0.49735999951676857,1.7280056264762924,0.005131123154436182,542.2745888231378,0.0,0.26167286266112694
0.26,TE12,0.2543815366920744,1126.7060483798407,0.005514911249253029,0.008948605757424503,1.6971781126331758,5.89660071298851,0.0014186604337508987,5118.736353250746,0.0,-0.0018027262608972573
0.28,TE11,0.08784923322365325,5572.051912417806,0.5726053296356239,0.8536984690816807,0.19959488255150373,0.6934636488659657,0.4881002398854838,70.95394125885109,0.0,0.0017767202448770944
0.28,TM11,0.18282391732568906,4444.744040912471,0.010442565739942759,0.015568842838306892,0.48452611339671525,1.6834161390897813,0.007087051751204543,427.35346451327723,0.0,0.2556015149290094
0.28,TE12,0.2543815366920744,2452.2312664140245,0.010897626161981831,0.01624729336177937,0.755827847245539,2.626014906620412,0.005952925053658877,1858.715248586376,0.0,-0.0015370006431551222
0.30000000000000004,TE11,0.08784923322365325,6011.916457144504,0.6233309263992,0.8649669799220004,0.20012557444503373,0.6953074613535726,0.5311142192228455,61.169493947341074,0.0,0.0016091886799445387
0.30000000000000004,TM11,0.18282391732568906,4985.090426685651,0.014036661774237066,0.019478014693069794,0.4791105554294055,1.6646005635567427,0.009567616937550963,348.5985050819369,0.0,0.2523095883384411
0.30000000000000004,TE12,0.2543815366920744,3332.9889224215153,0.01311643610547278,0.01820106085707805,0.5406037542258048,1.87824981885159,0.008511201376367832,1182.758819779789,0.0,-0.001304172273699462
0.32,TE11,0.08784923322365325,6449.024869635259,0.6695567538147921,0.8744888247423848,0.2012919865268099,0.6993599919994979,0.5699692105352107,53.311954064621006,0.0,0.0014616981124587819
0.32,TM11,0.18282391732568906,5504.353626332711,0.01850866794925643,0.024173639038475667,0.47801941681027504,1.6608095597065036,0.012626826357816395,291.4499795334074,0.0,0.25028204257809156
0.32,TE12,0.2543815366920744,4068.8570186814973,0.013801165714544194,0.0180253057220674,0.4316231125015425,1.4996122881706109,0.009771349375196352,865.0007223022524,0.0,-0.0010990629292273837
0.3399999999999999,TE11,0.08784923322365325,6883.902189830008,0.7108151022396144,0.8823080980028868,0.20292871158356962,0.7050465572838462,0.6042991601688323,46.89944570900742,0.0,0.0013310016199835093
0.3399999999999999,TM11,0.18282391732568906,6008.002699208313,0.023934052066938438,0.02970844019794608,0.47963973458101716,1.6664391202406084,0.016306934224922368,248.25649321189238,0.0,0.2487395935440601
0.3399999999999999,TE12,0.2543815366920744,4727.9789581221685,0.013410249375096179,0.016645639045380013,0.3628946481739432,1.260825145713324,0.01003123349314307,676.6962276612959,0.0,-0.0009176733933206914
0.3399999999999999,TM12,0.3347378549623198,1248.8437668994732,0.004950696169414847,0.00614511327525809,2.3074761682963585,8.016993336114941,0.0007815683072268254,6278.979053897485,0.0,-0.609690860059352
0.36,TE11,0.08784923322365325,7316.946238534346,0.7467977171959042,0.8884046045404008,0.20491786430102898,0.7119575816746899,0.6338802544181876,41.593626724429605,0.0,0.0012145594841082683
0.36,TM11,0.18282391732568906,6499.668401707114,0.030369077545183552,0.036127625601335374,0.48304706557131816,1.6782774006174535,0.020634970885110623,214.59502440295108,0.0,0.24725022106424405
0.36,TE12,0.2543815366920744,5338.855488482669,0.012226983241724656,0.014545449137650466,0.3146305589957,1.0931385248797443,0.009506167546408081,551.3575975228715,0.0,-0.0007568462801492218
0.36,TM12,0.3347378549623198,2776.545272920864,0.002715278145285857,0.0032301459301958143,1.130774356893755,3.928712507813248,0.001098861792759413,2291.4797580959016,0.0,-0.27793933217123934
0.38,TE11,0.08784923322365325,7748.464393964819,0.7773468409248285,0.892722595589055,0.2071735562349174,0.7197946581527812,0.6586206939020157,37.1507672229676,0.0,0.0011103507369165588
0.38,TM11,0.18282391732568906,6981.8828076020145,0.037845979338421515,0.04346317387410929,0.48767415219986854,1.6943535461379957,0.025620310767744826,187.72554712766592,0.0,0.24556611604974302
