frequency_thz,waist_mm,aperture_throughput,total_coupled_fraction,total_output_power_fraction,dominant_mode,dominant_output_fraction
0.1,3.7569646923125535,0.13211443061058337,0.05343111512480359,0.034525064065723435,TE11,0.034525064065723435
0.12000000000000001,3.1308039102604606,0.18457137515937094,0.10698587625352579,0.08175005263308295,TE11,0.08175005263308295
0.14,2.683546208794681,0.2424933742754134,0.16160072015801083,0.1301607997617236,TE11,0.1301607997617236
0.16,2.3481029326953458,0.3042328561869784,0.2190382613056727,0.1809559724832729,TE11,0.1809559724832729
0.18,2.0872026068403073,0.36814359243042094,0.27871663166731925,0.23351847046937635,TE11,0.23351847046937635
0.2,1.8784823461562767,0.4326515547112555,0.3429331461857977,0.2886829445785224,TE11,0.2868709032550029
0.22,1.707711223778433,0.4963157839240697,0.40457822048778386,0.3425153963520924,TE11,0.3399668882667242
0.24000000000000002,1.5654019551302303,0.5578762840613833,0.4658692331861836,0.39543553487892646,TE11,0.39179681238241054
0.26,1.444986420120213,0.6162872070520486,0.5311636403997878,0.44799071970258364,TE11,0.44144093611439655
0.28,1.3417731043973404,0.6707348676067941,0.5939455215375485,0.5011402166903473,TE11,0.4881002398854838
0.30000000000000004,1.252321564104184,0.7206412971457127,0.6504840242789097,0.5491930375367643,TE11,0.5311142192228455
0.32,1.1740514663476729,0.7656550145303874,0.7018665874785927,0.5923673862682234,TE11,0.5699692105352107
0.3399999999999999,1.1049896153860452,0.8056313932157616,0.7531100998510638,0.6314188961941246,TE11,0.6042991601688323
0.36,1.0436013034201537,0.8406054103943392,0.7921090561280982,0.6651202546424657,TE11,0.6338802544181876
0.38,0.9886749190296192,0.8707596791721208,0.8280281113087664,0.6937743761726171,TE11,0.6586206939020157
0.4,0.9392411730781384,0.8963905242125937,0.8594060595847901,0.7178381964960217,TE11,0.678546851317305
0.42000000000000004,0.8945154029315601,0.9178745196555637,0.8875936082406141,0.7379123691585013,TE11,0.6937870019276631
0.44000000000000006,0.8538556118892165,0.9356374315906238,0.9107924985161611,0.754123376796923,TE11,0.7045537312599374
0.45999999999999996,0.8167314548505551,0.9501269638835059,0.929896743044268,0.7665645491375463,TE11,0.7111260011465408
0.48,0.7827009775651154,0.961790157634996,0.9455204445148926,0.7757418293397575,TE11,0.7138317016167897
0.5,0.7513929384625107,0.9710557912406175,0.9592220562017678,0.7823425221138837,TE11,0.7130313446679376
0.52,0.7224932100601065,0.9783217053394869,0.9689320250902348,0.7864130176127636,TE11,0.7091033797156091
0.54,0.6957342022801023,0.9839466547569046,0.9767597434833869,0.7885349358558914,TE11,0.702431441207607
0.56,0.6708865521986702,0.9882460734164299,0.9829448897683879,0.7891109424968679,TE11,0.6933936856881745
0.58,0.6477525331573368,0.991491022032724,0.9877680414753264,0.7885034254047074,TE11,0.6823542448308075
0.6,0.6261607820520922,0.9939095578573331,0.9913871729128685,0.7869594239258696,TE11,0.6696567160516967
0.62,0.605962047147186,0.9956898017917231,0.9940962108962146,0.7847215824893463,TE11,0.6556195341513829
0.64,0.5870257331738364,0.9969840602620375,0.9963962508546919,0.7820035511176945,TE11,0.6405330148257377
0.66,0.5692370745928113,0.9979134678806291,0.9976744842429063,0.7789723701978771,TE11,0.6246578311626486
0.6799999999999998,0.5524948076930226,0.9985727354245733,0.9985727354245731,0.7756405863094814,TE11,0.608147914280748
0.7,0.5367092417589362,0.999034703133391,0.9990347031333914,0.7721030084013837,TE11,0.5911945334977257
0.72,0.5218006517100768,0.9993545028880398,0.99935450288804,0.7686098624673646,TE11,0.5741063425833768
0.74,0.5076979313935883,0.999573219362351,0.999573219362351,0.7652105899824442,TE11,0.5570228983261362
0.76,0.4943374595148096,0.9997210077690082,0.9997210077690083,0.7619291801121784,TE11,0.5400547605344715
0.78,0.48166214004007096,0.9998196747641066,0.9998196747641066,0.7587813451265877,TE11,0.5232941618316593
0.8,0.4696205865390692,0.9998847614180301,0.99988476141803,0.7557691758081946,TE11,0.5068118955051798
0.82,0.45816642589177486,0.9999271857635831,0.9999271857635833,0.7529116180880968,TE11,0.49067996250678486
0.84,0.44725770146578014,0.9999545104447365,0.9999545104447364,0.7501944138711437,TE11,0.4749362021128804
0.86,0.4368563595712271,0.9999719014389677,0.9999719014389676,0.7476150133672111,TE11,0.45961671028300455
0.88,0.4269278059446083,0.9999828393605898,0.9999828393605898,0.7451674965825654,TE11,0.44474663365327216
0.9,0.4174405213680614,0.9999896376120083,0.9999896376120084,0.7428446910964129,TE11,0.4303425500200085
0.92,0.40836572742527744,0.9999938132405534,0.9999938132405535,0.7406385627813259,TE11,0.41641374841699386
